,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude,total
297,1976,9,15,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,Few (~1 to 50 houses),no,no,2,125.48,2.7800000000000002,5
313,1977,4,27,Krafla,Iceland-NE,Iceland,650,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,1,-16.78,65.73,7
337,1977,4,5,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,0,43.38,-11.75,8
357,1977,1,10,Nyiragongo,Africa-C,"Congo, DRC",3470,Stratovolcano,Historical,,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),,no,no,1,29.25,-1.52,9
288,1978,1,13,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,140.83,42.53,5
239,1978,,,Tangkubanparahu,Java,Indonesia,2084,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,0,107.6,-6.77,4
299,1979,9,6,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,3.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,131.1,32.88,5
372,1979,7,18,Iliwerung,Lesser Sunda Is,Indonesia,1018,Complex volcano,Historical,1239.0,Very Many (~1001 or more deaths),Few (~1 to 50 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,0,123.59,-8.54,12
255,1979,3,8,Karkar,New Guinea-NE of,Papua New Guinea,1839,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,145.964,-4.649,4
271,1980,12,25,Hood,US-Oregon,United States,3426,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,0,-121.694,45.374,4
356,1980,5,18,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,61.0,Some (~51 to 100 deaths),,EXTREME (~$25 million or more),,yes,yes,5,-122.18,46.2,9
302,1981,6,30,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,200.0,Many (~101 to 1000 deaths),,,,no,no,0,123.685,13.257,6
265,1981,,,Vilyuchik,Kamchatka,Russia,2173,Stratovolcano,Tephrochronology,,Few (~1 to 50 deaths),,,,no,no,0,158.3,52.68,4
327,1981,4,27,Alaid,Kuril Is,Russia,2339,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,155.55,50.858,7
366,1982,3,29,"Chichon, El",Mexico,Mexico,1150,Tuff cone,Historical,1879.0,Very Many (~1001 or more deaths),,MODERATE (~$1 to $5 million),,no,yes,5,-93.228,17.36,11
350,1982,5,17,Galunggung,Java,Indonesia,2168,Stratovolcano,Historical,68.0,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),,no,no,4,108.05,-7.25,9
277,1983,3,8,Kliuchevskoi,Kamchatka,Russia,4835,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,160.638,56.057,4
321,1983,10,3,Miyake-jima,Izu Is-Japan,Japan,815,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),,no,yes,3,139.53,34.08,7
315,1983,7,23,Colo [Una Una],Sulawesi-Indonesia,Indonesia,507,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,4,121.608,-0.17,7
244,1984,9,14,On-take,Honshu-Japan,Japan,3063,Complex volcano,Historical,29.0,Few (~1 to 50 deaths),,,,no,no,0,137.48,35.9,4
369,1985,11,13,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,23080.0,Very Many (~1001 or more deaths),Very Many (~1001 or more deaths),,,no,no,3,-75.322,4.895,11
361,1986,8,21,Oku Volc Field,Africa-W,Cameroon,3011,Maar,Radiocarbon,1700.0,Very Many (~1001 or more deaths),Many (~101 to 1000 deaths),,,no,no,3,10.5,6.25,10
373,1987,12,1,Sirung,Lesser Sunda Is,Indonesia,862,Complex volcano,Historical,125.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,yes,0,124.148,-8.51,13
343,1987,1,25,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Some (~51 to 100 houses),no,no,3,-90.601,14.381,8
240,1988,12,25,Lonquimay,Chile-C,Chile,2865,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,-71.58,-38.377,4
278,1988,,,Akita-Yake-yama,Honshu-Japan,Japan,1366,Complex volcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,0,140.77,39.97,4
233,1988,5,9,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,3,129.871,-4.525,4
310,1990,5,29,Sabancaya,Peru,Peru,5967,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-71.85,-15.78,7
311,1990,2,2,Shiveluch,Kamchatka,Russia,3283,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,161.36,56.653,7
368,1991,6,15,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,800.0,Many (~101 to 1000 deaths),Few (~1 to 50 deaths),SEVERE (~>$5 to $24 million),,no,yes,6,120.35,15.13,11
320,1991,12,14,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),,no,no,2,15.004,37.734,7
243,1991,6,,Mutnovsky,Kamchatka,Russia,2322,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,0,158.195,52.453,4
257,1991,10,24,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,124.792,1.358,4
331,1992,9,17,Spurr,Alaska-SW,United States,3374,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,no,no,4,-152.25,61.3,8
354,1992,4,10,"Negro, Cerro",Nicaragua,Nicaragua,728,Cinder cone,Historical,11.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),MODERATE (~$1 to $5 million),Few (~1 to 50 houses),no,no,3,-86.702,12.506,9
256,1993,1,14,Galeras,Colombia,Colombia,4276,Complex volcano,Historical,9.0,Few (~1 to 50 deaths),,,,no,no,2,-77.37,1.22,4
298,1993,6,13,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,1,105.423,-6.102,5
281,1993,1,21,Wurlali,Banda Sea,Indonesia,868,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,0,128.675,-7.125,5
237,1994,11,3,Rinjani,Lesser Sunda Is,Indonesia,3726,Stratovolcano,Historical,31.0,Few (~1 to 50 deaths),,,,no,no,3,116.47,-8.42,4
358,1994,6,6,Huila,Colombia,Colombia,5365,Stratovolcano,Historical,650.0,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,yes,0,-76.05,2.92,10
269,1995,2,4,Yasur,Vanuatu-SW Pacific,Vanuatu,361,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,169.425,-19.52,4
266,1995,2,11,Yake-dake,Honshu-Japan,Japan,2455,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,1,137.58,36.22,4
238,1995,5,15,Kelimutu,Lesser Sunda Is,Indonesia,1640,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,0,121.83,-8.758,4
349,1995,9,6,Parker,Mindanao-Philippines,Philippines,1824,Stratovolcano,Historical,60.0,Some (~51 to 100 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,0,124.892,6.12,9
332,1995,4,2,Fogo,Cape Verde Is,Cape Verde,2829,Stratovolcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,2,-24.35,14.95,8
214,1996,1,2,Karymsky,Kamchatka,Russia,1536,Stratovolcano,Historical,,,,,,yes,no,2,159.43,54.05,3
314,1996,9,30,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-17.33,64.42,7
283,1996,12,3,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,13.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,145.061,-4.1,5
286,1996,9,27,Maderas,Nicaragua,Nicaragua,1394,Stratovolcano,Holocene,6.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,0,-85.515,11.446,5
285,1996,8,10,Kanlaon,Philippines-C,Philippines,2435,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,123.132,10.412,5
334,1996,4,30,Popocatepetl,Mexico,Mexico,5426,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-98.622,19.023,8
235,1997,7,12,Hakkoda Group,Honshu-Japan,Japan,1585,Stratovolcano,Holocene,3.0,Few (~1 to 50 deaths),,,,no,no,0,140.88,40.65,4
236,1997,6,25,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,22.0,Few (~1 to 50 deaths),,,,no,no,3,-62.18,16.72,4
318,1998,10,30,San Cristobal,Nicaragua,Nicaragua,1745,Stratovolcano,Historical,1620.0,Very Many (~1001 or more deaths),,,,no,no,0,-87.004,12.702,7
291,1999,10,16,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-78.442,-1.467,5
245,1999,10,5,Guagua Pichincha,Ecuador,Ecuador,4784,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,-78.598,-0.171,4
415,2000,8,23,Arenal,Costa Rica,Costa Rica,1657,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-84.703,10.463,5
422,2000,7,27,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,112.92,-8.108,4
380,2000,6,27,Miyake-jima,Izu Is-Japan,Japan,815,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Many (~101 to 1000 deaths),LIMITED (roughly corresponding to less than $1 million),,yes,yes,2,139.53,34.08,11
388,2002,12,30,Stromboli,Italy,Italy,926,Stratovolcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,0,15.213,38.789,8
385,2002,11,3,Reventador,Ecuador,Ecuador,3562,Stratovolcano,Historical,,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,4,-77.656,-0.078,9
377,2002,1,17,Nyiragongo,Africa-C,"Congo, DRC",3470,Stratovolcano,Historical,100.0,Some (~51 to 100 deaths),Many (~101 to 1000 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,1,29.25,-1.52,12
430,2003,7,12,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,,,,,,yes,no,3,-62.18,16.72,3
434,2004,6,8,Tengger Caldera,Java,Indonesia,2329,Stratovolcano,Historical,,,,,,no,no,2,112.95,-7.942,3
423,2004,1,29,Egon,Lesser Sunda Is,Indonesia,1703,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,122.45,-8.67,4
416,2005,10,1,Santa Ana,El Salvador,El Salvador,2365,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-89.63,13.853,5
