,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude,total
19,-4360,,,Macauley Island,Kermadec Is,New Zealand,238,Caldera,Holocene,,,,,,no,no,6,-178.47,-30.2,3
1,-4350,,,Kikai,Ryukyu Is,Japan,717,Caldera,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,7,130.28,30.78,10
12,-4050,,,Masaya,Nicaragua,Nicaragua,635,Caldera,Historical,,,,,,no,no,6,-86.161,11.984,3
2,-4000,,,Pago,New Britain-SW Pac,Papua New Guinea,742,Caldera,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,6,150.52,-5.58,8
14,-3580,,,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,,,,,no,no,6,120.993,14.002,3
21,-2420,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,,,,,no,no,5,14.426,40.821,3
13,-2040,,,Long Island,New Guinea-NE of,Papua New Guinea,1280,Complex volcano,Historical,,,,,,no,no,6,147.12,-5.358,3
15,-1900,,,Black Peak,Alaska Peninsula,United States,1032,Stratovolcano,Radiocarbon,,,,,,no,no,6,-158.8,56.53,3
7,-1890,,,"Hudson, Cerro",Chile-S,Chile,1905,Stratovolcano,Historical,,,,,,no,no,6,-72.97,-45.9,3
17,-1860,,,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,,,,,,no,no,6,-122.18,46.2,3
20,-1750,,,Veniaminof,Alaska Peninsula,United States,2507,Stratovolcano,Historical,,,,,,no,no,6,-159.38,56.17,3
11,-1645,,,Aniakchak,Alaska Peninsula,United States,1341,Caldera,Historical,,,,,,no,no,6,-158.17,56.88,3
0,-1610,,,Santorini,Greece,Greece,329,Shield volcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,yes,yes,7,25.396,36.404,10
8,-1550,,,Redoubt,Alaska-SW,United States,3108,Stratovolcano,Historical,,,,,,no,no,0,-152.75,60.48,3
16,-1460,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,,,,,,no,no,6,176.0,-38.82,3
9,-1050,,,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,,,,,,no,no,6,120.35,15.13,3
4,-1010,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,5,-78.442,-1.467,6
6,-455,,,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,-78.436,-0.677,4
22,-250,,,Raoul Island,Kermadec Is,New Zealand,516,Stratovolcano,Historical,,,,,,no,no,6,-177.92,-29.27,3
3,-150,,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,270,Complex volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,0,147.35,-2.38,6
5,-141,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,40.0,Few (~1 to 50 deaths),,,,no,no,0,15.004,37.734,4
10,-100,,,Okmok,Aleutian Is,United States,1073,Shield volcano,Historical,,,,,,no,no,6,-168.13,53.42,3
18,-50,,,Apoyeque,Nicaragua,Nicaragua,518,Pyroclastic shield,Radiocarbon,,,,,,no,no,6,-86.342,12.242,3
34,50,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,,,,,,no,no,6,168.12,-16.25,3
35,230,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,,,,,,no,no,6,176.0,-38.82,3
29,240,,,Ksudach,Kamchatka,Russia,1079,Stratovolcano,Historical,,,,,,no,no,6,157.53,51.8,3
104,416,,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,Many (~101 to 1000 deaths),,EXTREME (~$25 million or more),,yes,no,0,105.423,-6.102,10
82,450,,,Ilopango,El Salvador,El Salvador,450,Caldera,Historical,30000.0,Very Many (~1001 or more deaths),,,,no,no,6,-89.053,13.672,7
93,500,,,"Arhab, Harra of",Arabia-S,Yemen,3100,Volcanic field,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,44.08,15.63,7
40,590,,,San Salvador,El Salvador,El Salvador,1893,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,0,-89.286,13.736,4
44,640,,,"Uwayrid, Harrat",Arabia-W,Saudi Arabia,1900,Volcanic field,Anthropology,,Few (~1 to 50 deaths),,,,no,no,2,37.25,27.08,4
30,653,,,Dakataua,New Britain-SW Pac,Papua New Guinea,400,Caldera,Anthropology,,,,,,no,no,6,150.108,-5.056,3
24,683,,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,,,,,,no,no,6,152.203,-4.271,3
33,710,,,Pago,New Britain-SW Pac,Papua New Guinea,742,Caldera,Historical,,,,,,no,no,6,150.52,-5.58,3
36,847,,,Bona-Churchill,Alaska-E,United States,5005,Stratovolcano,Radiocarbon,,,,,,no,no,6,-141.75,61.38,3
37,930,,,Ceboruco,Mexico,Mexico,2280,Stratovolcano,Historical,,,,,,no,no,6,-104.508,21.125,3
32,1000,,,Changbaishan,China-E,North Korea,2744,Stratovolcano,Historical,,,,,,no,no,7,128.08,41.98,3
97,1104,10,15,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,5,-19.7,63.98,7
96,1151,,,Krisuvik,Iceland-SW,Iceland,379,Crater rows,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,1,-22.1,63.93,7
111,1169,2,4,Etna,Italy,Italy,3350,Stratovolcano,Historical,16000.0,Very Many (~1001 or more deaths),,EXTREME (~$25 million or more),,yes,yes,0,15.004,37.734,11
26,1250,,,Fentale,Africa-NE,Ethiopia,2007,Stratovolcano,Historical,,,,,,no,no,0,39.93,8.975,3
27,1280,,,Quilotoa,Ecuador,Ecuador,3914,Caldera,Radiocarbon,,,,,,no,no,6,-78.9,-0.85,3
39,1302,,,Ischia,Italy,Italy,789,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,0,13.897,40.73,4
59,1331,12,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88,4
69,1362,6,5,Oraefajokull,Iceland-SE,Iceland,2119,Stratovolcano,Historical,220.0,Many (~101 to 1000 deaths),,,,no,no,5,-16.65,64.0,6
61,1375,,,"Chichon, El",Mexico,Mexico,1150,Tuff cone,Historical,,Some (~51 to 100 deaths),,,,no,no,5,-93.228,17.36,5
66,1410,3,5,Nasu,Honshu-Japan,Japan,1917,Stratovolcano,Historical,180.0,Many (~101 to 1000 deaths),,,,no,no,3,139.97,37.12,6
63,1430,,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-2,Caldera,Historical,,Many (~101 to 1000 deaths),,,,no,no,0,168.536,-16.829,6
91,1500,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.05,63.63,7
56,1538,9,29,Campi Flegrei,Italy,Italy,458,Caldera,Historical,24.0,Few (~1 to 50 deaths),,,,no,no,3,14.139,40.827,4
28,1540,,,Augustine,Alaska-SW,United States,1252,Lava dome,Historical,,,,,,yes,no,4,-153.42,59.37,3
57,1550,11,,Dukono,Halmahera-Indonesia,Indonesia,1185,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,127.88,1.6800000000000002,4
83,1565,8,,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,yes,3,-90.601,14.381,7
73,1566,10,31,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,130.87,31.93,6
76,1568,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,510,Stratovolcano,Historical,1001.0,Very Many (~1001 or more deaths),,,,no,no,3,159.82,-9.13,7
72,1570,,,Mombacho,Nicaragua,Nicaragua,1344,Stratovolcano,Holocene,400.0,Many (~101 to 1000 deaths),,,,no,no,0,-85.968,11.826,6
31,1580,,,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,1544,Pyroclastic shield,Radiocarbon,,,,,,no,no,6,155.225,-6.092,3
87,1586,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,10000.0,Very Many (~1001 or more deaths),,,,no,no,5,112.308,-7.93,7
65,1590,1,15,Colima,Mexico,Mexico,3850,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,-103.62,19.514,6
64,1595,3,12,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,636.0,Many (~101 to 1000 deaths),,,,no,no,4,-75.322,4.895,6
77,1600,2,19,Huaynaputina,Peru,Peru,4850,Stratovolcano,Historical,1500.0,Very Many (~1001 or more deaths),,,,no,yes,6,-70.85,-16.608,7
25,1606,1,23,Hachijo-jima,Izu Is-Japan,Japan,854,Stratovolcano,Historical,,,,,,yes,no,2,139.77,33.13,3
99,1608,7,18,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,yes,no,3,127.325,0.8,8
60,1609,,,Tengchong,China-S,China,2865,Pyroclastic cone,Historical,,Few (~1 to 50 deaths),,,,no,no,0,98.47,25.32,4
85,1615,3,,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,,,,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,3,129.871,-4.525,7
70,1630,9,3,Furnas,Azores,Portugal,805,Stratovolcano,Historical,200.0,Many (~101 to 1000 deaths),,,,no,no,4,-25.32,37.77,6
110,1631,12,16,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,4000.0,Very Many (~1001 or more deaths),,EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,yes,5,14.426,40.821,11
102,1631,2,14,Dama Ali,Africa-NE,Ethiopia,1068,Shield volcano,Historical,50.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,no,yes,0,41.63,11.28,8
86,1638,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,1001.0,Very Many (~1001 or more deaths),,,,no,no,4,114.042,-8.125,7
107,1640,7,31,Komaga-take,Hokkaido-Japan,Japan,1140,Stratovolcano,Historical,700.0,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,yes,5,140.68,42.07,10
80,1640,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,5000.0,Very Many (~1001 or more deaths),,,Very Many (~1001 or more houses),no,no,3,-78.442,-1.467,7
71,1650,9,26,Santorini,Greece,Greece,329,Shield volcano,Historical,120.0,Many (~101 to 1000 deaths),,,,yes,no,4,25.396,36.404,6
109,1660,,,Long Island,New Guinea-NE of,Papua New Guinea,1280,Complex volcano,Historical,2000.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,6,147.12,-5.358,11
51,1660,2,,Teon,Banda Sea,Pacific Ocean,655,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,4,129.125,-6.92,4
38,1663,8,16,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),,,,no,no,5,140.83,42.53,4
101,1664,,,Iwo-Tori-shima,Ryukyu Is,Japan,217,Complex volcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,0,128.25,27.85,8
68,1670,,,Aoba,Vanuatu-SW Pacific,Vanuatu,1496,Shield volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,167.83,-15.4,6
84,1672,8,4,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,3000.0,Very Many (~1001 or more deaths),,,,no,no,3,110.442,-7.542,7
45,1672,4,24,Fayal,Azores,Portugal,1043,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,-28.73,38.6,4
106,1673,5,20,Gamkonora,Halmahera-Indonesia,Indonesia,1635,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,5,127.52,1.375,10
54,1677,11,22,La Palma,Canary Is,Spain,2426,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,-17.83,28.58,4
23,1679,9,21,Zukur,Red Sea,Yemen,624,Shield volcano,Holocene,,,,,,no,yes,0,42.75,14.02,3
49,1690,,,Guntur,Java,Indonesia,2249,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,107.83,-7.13,4
62,1692,6,4,Serua,Banda Sea,Pacific Ocean,641,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,,no,no,4,130.0,-6.3,5
46,1698,,,Cereme,Java,Indonesia,3078,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,108.4,-6.892,4
90,1706,5,5,Tenerife,Canary Is,Spain,3715,Stratovolcano,Historical,,,,SEVERE (~>$5 to $24 million),,yes,no,2,-16.641,28.271,7
103,1707,12,16,Fuji,Honshu-Japan,Japan,3776,Stratovolcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,yes,4,138.73,35.35,8
89,1711,12,11,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,3000.0,Very Many (~1001 or more deaths),,,,no,no,3,125.5,3.67,7
74,1717,8,27,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-90.88,14.473,7
58,1718,2,1,Pico,Azores,Portugal,2351,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,-28.4,38.47,4
81,1729,6,30,Krafla,Iceland-NE,Iceland,650,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-16.78,65.73,7
94,1729,2,1,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,1,-17.53,64.63,7
50,1730,,,Tseax River Cone,Canada,Canada,609,Pyroclastic cone,Radiocarbon,,Few (~1 to 50 deaths),,,,no,no,0,-128.9,55.12,4
55,1730,9,1,Lanzarote,Canary Is,Spain,670,Fissure vent,Historical,,Few (~1 to 50 deaths),,,,no,no,2,-13.63,29.03,4
112,1741,8,23,Oshima-Oshima,Hokkaido-Japan,Japan,737,Stratovolcano,Historical,2000.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,4,139.37,41.5,11
100,1754,5,13,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,12.0,Few (~1 to 50 deaths),,EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,yes,4,120.993,14.002,8
108,1757,7,9,San Jorge,Azores,Portugal,1053,Fissure vent,Historical,1053.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Very Many (~1001 or more houses),no,yes,0,-28.08,38.65,11
78,1760,,,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,2000.0,Very Many (~1001 or more deaths),,,,no,no,4,127.4,0.32,7
41,1762,,,Kliuchevskoi,Kamchatka,Russia,4835,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,160.638,56.057,4
48,1766,7,20,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,49.0,Few (~1 to 50 deaths),,,,no,no,3,123.685,13.257,4
105,1768,4,4,Cotopaxi,Ecuador,Ecuador,5911,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,no,no,4,-78.436,-0.677,10
75,1772,8,12,Papandayan,Java,Indonesia,2665,Stratovolcano,Historical,2957.0,Very Many (~1001 or more deaths),,,Many (~101 to 1000 houses),no,no,3,107.73,-7.32,7
47,1775,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,124.792,1.358,4
43,1778,,,Raikoke,Kuril Is,Russia,551,Stratovolcano,Historical,15.0,Few (~1 to 50 deaths),,,,no,no,4,153.25,48.292,4
98,1781,4,11,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,38.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,yes,no,4,130.67,31.58,8
92,1783,8,5,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1491.0,Very Many (~1001 or more deaths),,,,no,no,4,138.53,36.4,7
88,1784,4,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,9350.0,Very Many (~1001 or more deaths),,,,no,no,4,-17.33,64.42,7
53,1784,,,Hualalai,Hawaiian Is,United States,2523,Shield volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,0,-155.87,19.692,4
95,1784,7,,Sabancaya,Peru,Peru,5967,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,-71.85,-15.78,7
67,1785,4,18,Aoga-shima,Izu Is-Japan,Japan,423,Stratovolcano,Historical,135.0,Many (~101 to 1000 deaths),,,,no,no,3,139.77,32.45,6
52,1786,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,38.0,Few (~1 to 50 deaths),,,Some (~51 to 100 houses),no,no,2,109.92,-7.2,4
42,1789,,,Oshima,Izu Is-Japan,Japan,758,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,139.38,34.73,4
79,1790,11,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,5405.0,Very Many (~1001 or more deaths),,,,no,no,4,-155.292,19.425,7
113,1792,5,21,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,15000.0,Very Many (~1001 or more deaths),Many (~101 to 1000 deaths),EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,yes,2,130.3,32.75,14
145,1800,6,24,San Jorge,Azores,Portugal,1053,Fissure vent,Historical,9.0,Few (~1 to 50 deaths),,,,no,no,1,-28.08,38.65,4
135,1800,,,Hualalai,Hawaiian Is,United States,2523,Shield volcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,0,-155.87,19.692,4
170,1800,10,8,Guntur,Java,Indonesia,2249,Complex volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,0,107.83,-7.13,6
204,1800,,,Kieyo,Africa-E,Tanzania,2175,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,no,no,2,33.78,-9.23,10
166,1800,,,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,5,-122.18,46.2,6
132,1801,7,,Chokai,Honshu-Japan,Japan,2237,Stratovolcano,Historical,8.0,Few (~1 to 50 deaths),,,,no,no,2,140.03,39.08,4
143,1803,11,7,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,138.53,36.4,4
167,1804,,,Shikotsu,Hokkaido-Japan,Japan,1320,Caldera,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,141.33,42.7,6
156,1812,4,27,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,1220,Stratovolcano,Historical,56.0,Some (~51 to 100 deaths),,,,no,no,4,-61.18,13.33,5
206,1814,2,1,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,1200.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,4,123.685,13.257,11
213,1815,4,10,Tambora,Lesser Sunda Is,Indonesia,2850,Stratovolcano,Historical,60000.0,Very Many (~1001 or more deaths),Very Many (~1001 or more deaths),EXTREME (~$25 million or more),Very Many (~1001 or more houses),yes,no,7,118.0,-8.25,15
155,1817,1,24,Ijen,Java,Indonesia,2799,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,Some (~51 to 100 houses),no,no,2,114.242,-8.058,5
147,1817,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,114.042,-8.125,4
150,1818,2,5,Colima,Mexico,Mexico,3850,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,4,-103.62,19.514,4
114,1819,,,Asuncion,Mariana Is-C Pacific,United States,857,Stratovolcano,Historical,,,,,,yes,no,0,145.4,19.67,3
127,1820,3,1,Westdahl,Aleutian Is,United States,1654,Stratovolcano,Historical,,,,,,yes,yes,2,-164.65,54.52,3
209,1822,10,8,Galunggung,Java,Indonesia,2168,Stratovolcano,Historical,4011.0,Very Many (~1001 or more deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,5,108.05,-7.25,11
207,1822,12,27,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,100.0,Some (~51 to 100 deaths),Some (~51 to 100 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,3,110.442,-7.542,11
169,1822,3,9,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,50.0,Few (~1 to 50 deaths),Some (~51 to 100 deaths),,Some (~51 to 100 houses),no,no,4,140.83,42.53,6
163,1825,,,Balbi,Bougainville-SW Paci,Papua New Guinea,2715,Stratovolcano,Holocene,,Many (~101 to 1000 deaths),,,,no,no,0,154.98,-5.83,6
172,1826,10,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,131.1,32.88,6
205,1826,10,11,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Few (~1 to 50 deaths),Some (~51 to 100 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,3,112.308,-7.93,10
160,1826,10,11,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,,Some (~51 to 100 deaths),,,,no,no,2,109.92,-7.2,5
121,1827,6,27,Avachinsky,Kamchatka,Russia,2741,Stratovolcano,Historical,,,,,,yes,yes,2,158.83,53.255,3
174,1833,11,24,Kaba,Sumatra,Indonesia,1952,Stratovolcano,Historical,126.0,Many (~101 to 1000 deaths),,,,no,no,2,102.62,-3.52,6
133,1835,1,20,Cosiguina,Nicaragua,Nicaragua,872,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,5,-87.57,12.98,4
199,1835,11,1,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,yes,0,129.871,-4.525,10
116,1837,9,,Peuet Sague,Sumatra,Indonesia,2801,Complex volcano,Historical,,,,,,yes,yes,0,96.329,4.914,3
126,1839,2,12,Unnamed,Chile-Is,Chile,-642,Submarine volcano,Uncertain,,,,,,yes,no,2,-76.83,-33.62,3
191,1840,5,30,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,yes,no,0,-155.292,19.425,7
178,1840,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,510,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,3,159.82,-9.13,6
181,1840,7,2,Ararat,Turkey,Turkey,5165,Stratovolcano,Holocene,1900.0,Very Many (~1001 or more deaths),,,,no,no,3,44.28,39.7,7
188,1841,4,,Kuchinoerabu-jima,Ryukyu Is,Japan,649,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,2,130.22,30.43,7
182,1843,11,17,Etna,Italy,Italy,3350,Stratovolcano,Historical,56.0,Some (~51 to 100 deaths),Some (~51 to 100 deaths),,,no,no,2,15.004,37.734,7
123,1843,2,17,Soufriere Guadeloupe,W Indies,Guadeloupe,1467,Stratovolcano,Historical,,,,,,yes,no,0,-61.67,16.05,3
128,1843,2,8,Liamuiga,W Indies,St. Kitts & Nevis,1156,Stratovolcano,Radiocarbon,,,,,,yes,no,0,-62.8,17.37,3
203,1845,2,8,Soputan,Sulawesi-Indonesia,Indonesia,1784,Stratovolcano,Historical,118.0,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),yes,yes,2,124.725,1.108,10
164,1845,2,19,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,1000.0,Many (~101 to 1000 deaths),,,,no,no,3,-75.322,4.895,6
179,1845,9,2,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.7,63.98,7
171,1846,11,18,E-san,Hokkaido-Japan,Japan,618,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,1,141.17,41.8,6
157,1846,5,7,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,63.0,Some (~51 to 100 deaths),,,,no,no,0,176.0,-38.82,5
141,1846,5,27,Tangkubanparahu,Java,Indonesia,2084,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,107.6,-6.77,4
134,1847,4,9,Fogo,Cape Verde Is,Cape Verde,2829,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,-24.35,14.95,4
175,1850,,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,152.203,-4.271,6
120,1854,6,27,Alaid,Kuril Is,Russia,2339,Stratovolcano,Historical,,,,,,yes,no,3,155.55,50.858,3
185,1854,2,18,Shiveluch,Kamchatka,Russia,3283,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,5,161.36,56.653,7
211,1856,3,2,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,2806.0,Very Many (~1001 or more deaths),Some (~51 to 100 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,yes,3,125.5,3.67,13
140,1856,9,25,Komaga-take,Hokkaido-Japan,Japan,1140,Stratovolcano,Historical,20.0,Few (~1 to 50 deaths),,,Many (~101 to 1000 houses),no,no,4,140.68,42.07,4
124,1856,7,26,Shishaldin,Aleutian Is,United States,2857,Stratovolcano,Historical,,,,,,yes,no,0,-163.97,54.75,3
119,1857,4,17,Umboi,New Guinea-NE of,Papua New Guinea,1548,Complex volcano,Holocene,,,,,,yes,yes,0,147.875,-5.589,3
176,1858,7,3,Tate-yama,Honshu-Japan,Japan,2621,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,0,137.6,36.57,6
186,1860,8,18,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-90.88,14.473,7
187,1861,5,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-17.33,64.42,7
202,1861,5,7,Dubbi,Africa-NE,Eritrea,1625,Stratovolcano,Historical,106.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,yes,3,41.808,13.58,10
189,1861,12,29,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,326.0,Many (~101 to 1000 deaths),Few (~1 to 50 deaths),,Many (~101 to 1000 houses),no,no,4,127.4,0.32,7
154,1866,2,20,Santorini,Greece,Greece,329,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,25.396,36.404,5
